Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
MTHFR	Q71UM5	RPS27L	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|1|1	4	3	0.01	0.02|0.00|0.00	2|1|1	0.0083	0.0225	0.9479
MTHFR	O43719	HTATSF1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	2|0|0	0.0000	0.0000	0.9965
MTHFR	P61956	SUMO2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|1	2	3	0.00	0.00|0.00|0.00	4|1|1	0.0000	0.0000	0.9965
MTHFR	Q05682	CALD1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|1|1	3	3	0.00	0.00|0.00|0.00	1|0|1	0.0000	0.0000	0.9965
MTHFR	O43432	EIF4G3	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|0|1	1	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.9965
MTHFR	Q86UP2	KTN1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|3|0	3	3	0.00	0.00|0.00|0.00	7|0|0	0.0008	0.0025	0.9685
MTHFR	P05114	HMGN1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	6|0|1	0.0000	0.0000	0.9965
MTHFR	Q96DH6	MSI2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|2|2	6	3	0.04	0.05|0.02|0.04	1|0|2	0.0400	0.0550	0.9118
MTHFR	O43707	ACTN4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|5|1	8	3	0.00	0.00|0.00|0.00	8|0|0	0.0000	0.0000	0.9965
MTHFR	P59998	ARPC4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|1	2	3	0.00	0.00|0.00|0.00	4|0|1	0.0000	0.0000	0.9965
MTHFR	P54727	RAD23B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|2	4	3	0.00	0.00|0.00|0.00	3|2|3	0.0000	0.0000	0.9965
MTHFR	Q9Y3B4	SF3B6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|4|0	7	3	0.05	0.07|0.14|0.00	5|0|0	0.0700	0.1400	0.8737
MTHFR	Q96I25	RBM17	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|3|0	3	3	0.00	0.00|0.00|0.00	5|0|0	0.0017	0.0050	0.9641
MTHFR	Q96I24	FUBP3	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|4|3	9	3	0.00	0.00|0.00|0.00	8|2|2	0.0000	0.0000	0.9965
MTHFR	O00303	EIF3F	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|6|5	14	3	0.00	0.00|0.00|0.00	5|4|6	0.0000	0.0000	0.9965
MTHFR	Q96T37	RBM15	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|4|0	4	3	0.00	0.00|0.00|0.00	8|0|0	0.0000	0.0000	0.9965
MTHFR	P04637	TP53	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|3|0	3	3	0.00	0.00|0.02|0.00	5|0|0	0.0083	0.0250	0.9479
MTHFR	O95373	IPO7	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|2|2	5	3	0.00	0.00|0.00|0.00	3|0|2	0.0017	0.0025	0.9641
MTHFR	O95372	LYPLA2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|0|3	3	3	0.17	0.00|0.00|0.42	1|0|0	0.1408	0.4225	0.7908
MTHFR	P20700	LMNB1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|23|0	24	3	0.00	0.00|0.00|0.00	31|1|0	0.0017	0.0050	0.9641
